model_arch,train_type,layer,sub,target_age,target_roi,corr
cornet_z_cl,imagenet_noface,aIT,NDARFM749LF3,8.0,lLO,0.09301464905404978
cornet_z_cl,imagenet_noface,aIT,NDARFM749LF3,8.0,lFFA,0.0556481564715033
cornet_z_cl,imagenet_noface,aIT,NDARFM749LF3,8.0,lOFA,0.0606534205715778
cornet_z_cl,imagenet_noface,aIT,NDARFM749LF3,8.0,rLO,0.08713810786480727
cornet_z_cl,imagenet_noface,aIT,NDARFM749LF3,8.0,rFFA,0.06135079367212326
cornet_z_cl,imagenet_noface,aIT,NDARFM749LF3,8.0,rOFA,0.07577528403032283
cornet_z_cl,imagenet_noface,aIT,NDARFV061AR5,18.0,lLO,0.14600188162954517
cornet_z_cl,imagenet_noface,aIT,NDARFV061AR5,18.0,lFFA,0.0877624584637127
cornet_z_cl,imagenet_noface,aIT,NDARFV061AR5,18.0,lOFA,0.1132570211700584
cornet_z_cl,imagenet_noface,aIT,NDARFV061AR5,18.0,rLO,0.14492694497298203
cornet_z_cl,imagenet_noface,aIT,NDARFV061AR5,18.0,rFFA,0.1151810363000687
cornet_z_cl,imagenet_noface,aIT,NDARFV061AR5,18.0,rOFA,0.1242663327866096
cornet_z_cl,imagenet_noface,aIT,NDARGY542TJ5,6.0,lLO,0.16093491890288839
cornet_z_cl,imagenet_noface,aIT,NDARGY542TJ5,6.0,lFFA,0.10841108144900091
cornet_z_cl,imagenet_noface,aIT,NDARGY542TJ5,6.0,lOFA,0.08809667347225067
cornet_z_cl,imagenet_noface,aIT,NDARGY542TJ5,6.0,rLO,0.14666634588420052
cornet_z_cl,imagenet_noface,aIT,NDARGY542TJ5,6.0,rFFA,0.12374125634673241
cornet_z_cl,imagenet_noface,aIT,NDARGY542TJ5,6.0,rOFA,0.10148971727821261
cornet_z_cl,imagenet_noface,aIT,NDARGZ059UVR,6.0,lLO,0.07776769307913672
cornet_z_cl,imagenet_noface,aIT,NDARGZ059UVR,6.0,lFFA,0.08023193162428915
cornet_z_cl,imagenet_noface,aIT,NDARGZ059UVR,6.0,lOFA,0.05516762404188711
cornet_z_cl,imagenet_noface,aIT,NDARGZ059UVR,6.0,rLO,0.07366943821638658
cornet_z_cl,imagenet_noface,aIT,NDARGZ059UVR,6.0,rFFA,0.08703746416956389
cornet_z_cl,imagenet_noface,aIT,NDARGZ059UVR,6.0,rOFA,0.05809844104298569
cornet_z_cl,imagenet_noface,aIT,NDARHG188YE9,6.0,lLO,0.10280531919959993
cornet_z_cl,imagenet_noface,aIT,NDARHG188YE9,6.0,lFFA,0.04884509768316691
cornet_z_cl,imagenet_noface,aIT,NDARHG188YE9,6.0,lOFA,0.06168630056579693
cornet_z_cl,imagenet_noface,aIT,NDARHG188YE9,6.0,rLO,0.05981174058637281
cornet_z_cl,imagenet_noface,aIT,NDARHG188YE9,6.0,rFFA,0.05750688262835932
cornet_z_cl,imagenet_noface,aIT,NDARHG188YE9,6.0,rOFA,0.05153669292317598
cornet_z_cl,imagenet_noface,aIT,NDARHY099CUL,6.0,lLO,0.11376523222165803
cornet_z_cl,imagenet_noface,aIT,NDARHY099CUL,6.0,lFFA,0.0887058824144678
cornet_z_cl,imagenet_noface,aIT,NDARHY099CUL,6.0,lOFA,0.0844588493973976
cornet_z_cl,imagenet_noface,aIT,NDARHY099CUL,6.0,rLO,0.10056534524113628
cornet_z_cl,imagenet_noface,aIT,NDARHY099CUL,6.0,rFFA,0.10853132281871343
cornet_z_cl,imagenet_noface,aIT,NDARHY099CUL,6.0,rOFA,0.08851765995286046
cornet_z_cl,imagenet_noface,aIT,NDARJL861WTP,7.0,lLO,0.10351836367633588
cornet_z_cl,imagenet_noface,aIT,NDARJL861WTP,7.0,lFFA,0.053731390032072016
cornet_z_cl,imagenet_noface,aIT,NDARJL861WTP,7.0,lOFA,0.06315613014019285
cornet_z_cl,imagenet_noface,aIT,NDARJL861WTP,7.0,rLO,0.14003725686038404
cornet_z_cl,imagenet_noface,aIT,NDARJL861WTP,7.0,rFFA,0.09179787370384847
cornet_z_cl,imagenet_noface,aIT,NDARJL861WTP,7.0,rOFA,0.11227459643819727
cornet_z_cl,imagenet_noface,aIT,NDARKN633WZA,18.0,lLO,0.15212402985138654
cornet_z_cl,imagenet_noface,aIT,NDARKN633WZA,18.0,lFFA,0.09479325907163566
cornet_z_cl,imagenet_noface,aIT,NDARKN633WZA,18.0,lOFA,0.0942947377951534
cornet_z_cl,imagenet_noface,aIT,NDARKN633WZA,18.0,rLO,0.14249579638565746
cornet_z_cl,imagenet_noface,aIT,NDARKN633WZA,18.0,rFFA,0.08102028955287642
cornet_z_cl,imagenet_noface,aIT,NDARKN633WZA,18.0,rOFA,0.13003912903484063
cornet_z_cl,imagenet_noface,aIT,NDARLB162XP2,6.0,lLO,0.11737893937449058
cornet_z_cl,imagenet_noface,aIT,NDARLB162XP2,6.0,lFFA,0.10607478225623104
cornet_z_cl,imagenet_noface,aIT,NDARLB162XP2,6.0,lOFA,0.09889729135607868
cornet_z_cl,imagenet_noface,aIT,NDARLB162XP2,6.0,rLO,0.10453904507597025
cornet_z_cl,imagenet_noface,aIT,NDARLB162XP2,6.0,rFFA,0.09380016007494635
cornet_z_cl,imagenet_noface,aIT,NDARLB162XP2,6.0,rOFA,0.09520754503356178
