subj,seed_age,seed_roi,target_age,target_roi,corr
NDARNT151UN1,18,lLO,6.509012,rOFA,0.13195640835743716
NDARPF319WV2,18,lLO,6.452201,lLO,0.1771432156476109
NDARPF319WV2,18,lLO,6.452201,lFFA,0.13323761174396032
NDARPF319WV2,18,lLO,6.452201,lOFA,0.1378540701239544
NDARPF319WV2,18,lLO,6.452201,rLO,0.16581870064157564
NDARPF319WV2,18,lLO,6.452201,rFFA,0.14232581131830177
NDARPF319WV2,18,lLO,6.452201,rOFA,0.12482911056898117
NDARRK545WNM,18,lLO,19.782569,lLO,0.40018772517299545
NDARRK545WNM,18,lLO,19.782569,lFFA,0.30526195207143114
NDARRK545WNM,18,lLO,19.782569,lOFA,0.29326914184730685
NDARRK545WNM,18,lLO,19.782569,rLO,0.33259275456915394
NDARRK545WNM,18,lLO,19.782569,rFFA,0.336400890373458
NDARRK545WNM,18,lLO,19.782569,rOFA,0.2649544566004447
NDARRR813CY6,18,lLO,6.32877,lLO,0.21512876888012428
NDARRR813CY6,18,lLO,6.32877,lFFA,0.17104945935406898
NDARRR813CY6,18,lLO,6.32877,lOFA,0.09816844552134485
NDARRR813CY6,18,lLO,6.32877,rLO,0.25106176814821485
NDARRR813CY6,18,lLO,6.32877,rFFA,0.1973705015055623
NDARRR813CY6,18,lLO,6.32877,rOFA,0.2196914686484245
NDARRY768ZH3,18,lLO,6.545174,lLO,0.2388989781917046
NDARRY768ZH3,18,lLO,6.545174,lFFA,0.1976041224143466
NDARRY768ZH3,18,lLO,6.545174,lOFA,0.1371202578865949
NDARRY768ZH3,18,lLO,6.545174,rLO,0.2243049777662355
NDARRY768ZH3,18,lLO,6.545174,rFFA,0.1825840999903383
NDARRY768ZH3,18,lLO,6.545174,rOFA,0.18410536934017366
NDARTC794GZ5,18,lLO,5.846452,lLO,0.16503341113334735
NDARTC794GZ5,18,lLO,5.846452,lFFA,0.0817400798257988
NDARTC794GZ5,18,lLO,5.846452,lOFA,0.10394405260595868
NDARTC794GZ5,18,lLO,5.846452,rLO,0.1680513418871533
NDARTC794GZ5,18,lLO,5.846452,rFFA,0.1152748220137755
NDARTC794GZ5,18,lLO,5.846452,rOFA,0.13491056837860532
NDARTE773XJ5,18,lLO,5.463723,lLO,0.2143377953533181
NDARTE773XJ5,18,lLO,5.463723,lFFA,0.14022826562113758
NDARTE773XJ5,18,lLO,5.463723,lOFA,0.1452955585367471
NDARTE773XJ5,18,lLO,5.463723,rLO,0.12994157541418427
NDARTE773XJ5,18,lLO,5.463723,rFFA,0.13122888969483254
NDARTE773XJ5,18,lLO,5.463723,rOFA,0.09046759010299876
NDARTH930FNK,18,lLO,5.584302,lLO,0.24477930387605862
NDARTH930FNK,18,lLO,5.584302,lFFA,0.19864962728669147
NDARTH930FNK,18,lLO,5.584302,lOFA,0.16271383787158689
NDARTH930FNK,18,lLO,5.584302,rLO,0.2018445899608415
NDARTH930FNK,18,lLO,5.584302,rFFA,0.10575720671843065
NDARTH930FNK,18,lLO,5.584302,rOFA,0.15603972952205392
NDARTK357VHL,18,lLO,6.400068,lLO,0.19122255661783322
NDARTK357VHL,18,lLO,6.400068,lFFA,0.21762365434349518
NDARTK357VHL,18,lLO,6.400068,lOFA,0.15550962160911605
NDARTK357VHL,18,lLO,6.400068,rLO,0.19092403223686596
NDARTK357VHL,18,lLO,6.400068,rFFA,0.23447983167555625
NDARTK357VHL,18,lLO,6.400068,rOFA,0.17688958705484933
NDARUV041YCY,18,lLO,6.693018,lLO,0.21383085411102287
NDARUV041YCY,18,lLO,6.693018,lFFA,0.09331558984795728
NDARUV041YCY,18,lLO,6.693018,lOFA,0.11725191537438995
NDARUV041YCY,18,lLO,6.693018,rLO,0.2964555203342282
NDARUV041YCY,18,lLO,6.693018,rFFA,0.19499208224529258
NDARUV041YCY,18,lLO,6.693018,rOFA,0.11461486797089698
NDARUY339ZLN,18,lLO,6.985398,lLO,0.1679101884268834
NDARUY339ZLN,18,lLO,6.985398,lFFA,0.11258073264787727
NDARUY339ZLN,18,lLO,6.985398,lOFA,0.10330084775717369
NDARUY339ZLN,18,lLO,6.985398,rLO,0.16301380187047068
NDARUY339ZLN,18,lLO,6.985398,rFFA,0.13903778592606836
NDARUY339ZLN,18,lLO,6.985398,rOFA,0.12761865448597107
NDARVB012UWL,18,lLO,5.580994,lLO,0.09937451779267031
NDARVB012UWL,18,lLO,5.580994,lFFA,0.06183258296295951
NDARVB012UWL,18,lLO,5.580994,lOFA,0.05440612501815787
NDARVB012UWL,18,lLO,5.580994,rLO,0.11185546580787138
NDARVB012UWL,18,lLO,5.580994,rFFA,0.09335053911838269
NDARVB012UWL,18,lLO,5.580994,rOFA,0.08339222088080148
NDARVB151GXF,18,lLO,7.317134,lLO,0.28420737933288925
NDARVB151GXF,18,lLO,7.317134,lFFA,0.17389405729646895
NDARVB151GXF,18,lLO,7.317134,lOFA,0.16696600445908863
NDARVB151GXF,18,lLO,7.317134,rLO,0.29177896865553216
NDARVB151GXF,18,lLO,7.317134,rFFA,0.236179736510493
NDARVB151GXF,18,lLO,7.317134,rOFA,0.20331894853804128
NDARVC350WVG,18,lLO,5.784052,lLO,0.18727066217884422
NDARVC350WVG,18,lLO,5.784052,lFFA,0.16350438831130545
NDARVC350WVG,18,lLO,5.784052,lOFA,0.13743927697100541
NDARVC350WVG,18,lLO,5.784052,rLO,0.18349266466853165
NDARVC350WVG,18,lLO,5.784052,rFFA,0.15447535163258067
NDARVC350WVG,18,lLO,5.784052,rOFA,0.1463906534009217
NDARVC711ZK0,18,lLO,7.426762,lLO,0.20731458652907248
NDARVC711ZK0,18,lLO,7.426762,lFFA,0.12880058067596076
NDARVC711ZK0,18,lLO,7.426762,lOFA,0.1506060893996342
NDARVC711ZK0,18,lLO,7.426762,rLO,0.20019904896092017
NDARVC711ZK0,18,lLO,7.426762,rFFA,0.1667693142358855
NDARVC711ZK0,18,lLO,7.426762,rOFA,0.1736549211487207
NDARVC964LX0,18,lLO,7.585671,lLO,0.28866631293659323
NDARVC964LX0,18,lLO,7.585671,lFFA,0.1827613710438799
NDARVC964LX0,18,lLO,7.585671,lOFA,0.16136116280475762
NDARVC964LX0,18,lLO,7.585671,rLO,0.2762721612835291
NDARVC964LX0,18,lLO,7.585671,rFFA,0.18509162065909984
NDARVC964LX0,18,lLO,7.585671,rOFA,0.22852294176046392
NDARWC174VE6,18,lLO,7.149669,lLO,0.26576027818701
NDARWC174VE6,18,lLO,7.149669,lFFA,0.1431394809079209
NDARWC174VE6,18,lLO,7.149669,lOFA,0.13798339514033905
NDARWC174VE6,18,lLO,7.149669,rLO,0.1938148670554058
NDARWC174VE6,18,lLO,7.149669,rFFA,0.16906028272862597
NDARWC174VE6,18,lLO,7.149669,rOFA,0.15796370010642094
NDARWV984WMM,18,lLO,6.279603,lLO,0.32368293111547
NDARWV984WMM,18,lLO,6.279603,lFFA,0.2531078568268779
NDARWV984WMM,18,lLO,6.279603,lOFA,0.23414444398018594
NDARWV984WMM,18,lLO,6.279603,rLO,0.2025966033333721
NDARWV984WMM,18,lLO,6.279603,rFFA,0.2389466599548762
NDARWV984WMM,18,lLO,6.279603,rOFA,0.16623080386540579
NDARXB692PXC,18,lLO,5.866187,lLO,0.1369451255160314
NDARXB692PXC,18,lLO,5.866187,lFFA,0.08702727566778387
NDARXB692PXC,18,lLO,5.866187,lOFA,0.08147320751744223
NDARXB692PXC,18,lLO,5.866187,rLO,0.1553579484451138
NDARXB692PXC,18,lLO,5.866187,rFFA,0.06774932476121066
NDARXB692PXC,18,lLO,5.866187,rOFA,0.12951813957617764
NDARXR123PFR,18,lLO,7.401551,lLO,0.1438831665491059
NDARXR123PFR,18,lLO,7.401551,lFFA,0.1118450165494657
NDARXR123PFR,18,lLO,7.401551,lOFA,0.13118241854403628
NDARXR123PFR,18,lLO,7.401551,rLO,0.21295313159089133
NDARXR123PFR,18,lLO,7.401551,rFFA,0.16357293439027537
NDARXR123PFR,18,lLO,7.401551,rOFA,0.14710952589732493
NDARYE850ZVD,18,lLO,19.286561,lLO,0.34070139225387625
NDARYE850ZVD,18,lLO,19.286561,lFFA,0.2078726198114948
NDARYE850ZVD,18,lLO,19.286561,lOFA,0.21213239000191317
NDARYE850ZVD,18,lLO,19.286561,rLO,0.3252289270079063
NDARYE850ZVD,18,lLO,19.286561,rFFA,0.23469940073319953
NDARYE850ZVD,18,lLO,19.286561,rOFA,0.25530734785070636
NDARYT332LMM,18,lLO,7.494638,lLO,0.23408481977644197
NDARYT332LMM,18,lLO,7.494638,lFFA,0.19696048513879963
NDARYT332LMM,18,lLO,7.494638,lOFA,0.15528379565218972
NDARYT332LMM,18,lLO,7.494638,rLO,0.20965933265750852
NDARYT332LMM,18,lLO,7.494638,rFFA,0.22255789652725605
NDARYT332LMM,18,lLO,7.494638,rOFA,0.16797277658816942
NDARZG081LYG,18,lLO,7.253821,lLO,0.1589781198768101
NDARZG081LYG,18,lLO,7.253821,lFFA,0.1113312832567754
NDARZG081LYG,18,lLO,7.253821,lOFA,0.11769999468671016
NDARZG081LYG,18,lLO,7.253821,rLO,0.12991564041005252
NDARZG081LYG,18,lLO,7.253821,rFFA,0.14456017706441016
NDARZG081LYG,18,lLO,7.253821,rOFA,0.10718383391438525
NDARZG236AUT,18,lLO,6.522701,lLO,0.24790502136221443
NDARZG236AUT,18,lLO,6.522701,lFFA,0.16043206355227302
NDARZG236AUT,18,lLO,6.522701,lOFA,0.17238328119232477
NDARZG236AUT,18,lLO,6.522701,rLO,0.22717310891526155
NDARZG236AUT,18,lLO,6.522701,rFFA,0.1867986842140867
NDARZG236AUT,18,lLO,6.522701,rOFA,0.17778129840850346
NDARBF851NH6,18,lLO,18.895391,lLO,0.38585482721241476
NDARBF851NH6,18,lLO,18.895391,lFFA,0.17877768209983547
NDARBF851NH6,18,lLO,18.895391,lOFA,0.16342973478845763
NDARBF851NH6,18,lLO,18.895391,rLO,0.3542127916815934
NDARBF851NH6,18,lLO,18.895391,rFFA,0.21456845213088546
NDARBF851NH6,18,lLO,18.895391,rOFA,0.27778247639764
NDARDD854GF8,18,lLO,7.974332,lLO,0.36027823157290956
NDARDD854GF8,18,lLO,7.974332,lFFA,0.1407124435602692
NDARDD854GF8,18,lLO,7.974332,lOFA,0.20482128822291581
NDARDD854GF8,18,lLO,7.974332,rLO,0.4014348155608374
NDARDD854GF8,18,lLO,7.974332,rFFA,0.1917267131743574
NDARDD854GF8,18,lLO,7.974332,rOFA,0.3199207067134335
NDARDF374LGN,18,lLO,7.810061,lLO,0.23974948422038078
NDARDF374LGN,18,lLO,7.810061,lFFA,0.16796706445680368
NDARDF374LGN,18,lLO,7.810061,lOFA,0.18100197221332132
NDARDF374LGN,18,lLO,7.810061,rLO,0.26065407739020585
NDARDF374LGN,18,lLO,7.810061,rFFA,0.19088701313859419
NDARDF374LGN,18,lLO,7.810061,rOFA,0.22929976445769595
NDARDV245WJG,18,lLO,7.872461,lLO,0.2587380063437225
NDARDV245WJG,18,lLO,7.872461,lFFA,0.15592341096723733
NDARDV245WJG,18,lLO,7.872461,lOFA,0.17479393766170065
NDARDV245WJG,18,lLO,7.872461,rLO,0.2743111004878046
NDARDV245WJG,18,lLO,7.872461,rFFA,0.21570233920558837
NDARDV245WJG,18,lLO,7.872461,rOFA,0.23817654051066903
NDARGB528CP8,18,lLO,6.999201,lLO,0.3083709568400505
NDARGB528CP8,18,lLO,6.999201,lFFA,0.1696795384878735
NDARGB528CP8,18,lLO,6.999201,lOFA,0.14129490046339702
NDARGB528CP8,18,lLO,6.999201,rLO,0.2682012448798676
NDARGB528CP8,18,lLO,6.999201,rFFA,0.1664317844852845
NDARGB528CP8,18,lLO,6.999201,rOFA,0.1315267271325337
NDARHD931FNA,18,lLO,7.117385,lLO,0.08541643961195142
NDARHD931FNA,18,lLO,7.117385,lFFA,0.058337166793705014
NDARHD931FNA,18,lLO,7.117385,lOFA,0.030548249028423024
NDARHD931FNA,18,lLO,7.117385,rLO,0.13047234377136038
NDARHD931FNA,18,lLO,7.117385,rFFA,0.06654082167133468
NDARHD931FNA,18,lLO,7.117385,rOFA,0.09432330536445471
NDARHG594GKH,18,lLO,7.908624,lLO,0.1602107116873381
NDARHG594GKH,18,lLO,7.908624,lFFA,0.1085509521770521
NDARHG594GKH,18,lLO,7.908624,lOFA,0.12994598421384504
NDARHG594GKH,18,lLO,7.908624,rLO,0.15807998543210733
NDARHG594GKH,18,lLO,7.908624,rFFA,0.13009480883262325
NDARHG594GKH,18,lLO,7.908624,rOFA,0.1449344583304087
NDARJX458DVE,18,lLO,5.643851,lLO,0.2386227002718569
NDARJX458DVE,18,lLO,5.643851,lFFA,0.1716946557236025
NDARJX458DVE,18,lLO,5.643851,lOFA,0.16626897460056414
NDARJX458DVE,18,lLO,5.643851,rLO,0.2271023191420556
NDARJX458DVE,18,lLO,5.643851,rFFA,0.18023265059863822
NDARJX458DVE,18,lLO,5.643851,rOFA,0.14691054239555204
NDARLA048NYE,18,lLO,6.928473,lLO,0.20969620026405128
NDARLA048NYE,18,lLO,6.928473,lFFA,0.12626677463860533
NDARLA048NYE,18,lLO,6.928473,lOFA,0.1619272623522194
NDARLA048NYE,18,lLO,6.928473,rLO,0.1548259362876304
NDARLA048NYE,18,lLO,6.928473,rFFA,0.14519175756279967
NDARLA048NYE,18,lLO,6.928473,rOFA,0.10401255349533935
NDARMG451PJA,18,lLO,7.407027,lLO,0.2570584935584378
NDARMG451PJA,18,lLO,7.407027,lFFA,0.17889295953889106
NDARMG451PJA,18,lLO,7.407027,lOFA,0.20533676288524338
NDARMG451PJA,18,lLO,7.407027,rLO,0.25685919434977583
NDARMG451PJA,18,lLO,7.407027,rFFA,0.22029194253267934
NDARMG451PJA,18,lLO,7.407027,rOFA,0.2058101315126873
NDARMV981GZ7,18,lLO,6.826602,lLO,0.1913212266420974
NDARMV981GZ7,18,lLO,6.826602,lFFA,0.13024182237479492
NDARMV981GZ7,18,lLO,6.826602,lOFA,0.12435122366234805
NDARMV981GZ7,18,lLO,6.826602,rLO,0.1781823564593735
NDARMV981GZ7,18,lLO,6.826602,rFFA,0.134161757117582
NDARMV981GZ7,18,lLO,6.826602,rOFA,0.13852387684656806
NDARMZ366UY8,18,lLO,6.443303,lLO,0.2432890116988016
NDARMZ366UY8,18,lLO,6.443303,lFFA,0.16884282252630226
NDARMZ366UY8,18,lLO,6.443303,lOFA,0.1487409532505582
NDARMZ366UY8,18,lLO,6.443303,rLO,0.20207024574940285
NDARMZ366UY8,18,lLO,6.443303,rFFA,0.14647027195489257
NDARMZ366UY8,18,lLO,6.443303,rOFA,0.1484328537292837
NDARPE752VYE,18,lLO,7.486995,lLO,0.22408578253456446
NDARPE752VYE,18,lLO,7.486995,lFFA,0.1453789423988855
NDARPE752VYE,18,lLO,7.486995,lOFA,0.15975315975921547
NDARPE752VYE,18,lLO,7.486995,rLO,0.24704110252945824
NDARPE752VYE,18,lLO,7.486995,rFFA,0.17224203150870532
NDARPE752VYE,18,lLO,7.486995,rOFA,0.18323479898065503
NDARPL194XDX,18,lLO,7.131074,lLO,0.16852363995518468
NDARPL194XDX,18,lLO,7.131074,lFFA,0.13161709636191202
NDARPL194XDX,18,lLO,7.131074,lOFA,0.09370451996750223
NDARPL194XDX,18,lLO,7.131074,rLO,0.18373881087579924
NDARPL194XDX,18,lLO,7.131074,rFFA,0.18403903353437345
NDARPL194XDX,18,lLO,7.131074,rOFA,0.10151560701235758
NDARPX838GCD,18,lLO,7.878393,lLO,0.20844046861655718
NDARPX838GCD,18,lLO,7.878393,lFFA,0.15004916543589694
NDARPX838GCD,18,lLO,7.878393,lOFA,0.1599717324797043
NDARPX838GCD,18,lLO,7.878393,rLO,0.19684778248413554
NDARPX838GCD,18,lLO,7.878393,rFFA,0.1600722712281346
NDARPX838GCD,18,lLO,7.878393,rOFA,0.15568226898633247
NDARRX800KW8,18,lLO,6.990987,lLO,0.1784286470728324
NDARRX800KW8,18,lLO,6.990987,lFFA,0.14167763941903208
NDARRX800KW8,18,lLO,6.990987,lOFA,0.12377402281808493
