,seed_age,target_age,seed_roi,target_roi,age_cond,roi_cond,isc_mean,isc_se
129,infant,infant,rA1,rFFA,within,between,0.008046631219568159,0.13787249221142933
130,infant,infant,rA1,rA1,within,within,0.013987319961398584,0.11199372277301586
131,infant,infant,rA1,rEVC,within,between,1.7899096874376037e-05,0.12012355449663543
132,infant,infant,rEVC,LOC,within,between,0.17830102130674166,0.20949653811881808
133,infant,infant,rEVC,FFA,within,between,0.14632875849385668,0.15616645823312753
134,infant,infant,rEVC,A1,within,between,-0.054640015081796924,0.17474124822424736
135,infant,infant,rEVC,EVC,within,between,0.2771634334600019,0.2281601050924828
136,infant,infant,rEVC,lLOC,within,between,0.1400621663839202,0.17969536316817356
137,infant,infant,rEVC,lFFA,within,between,0.10623528500662782,0.16889534295408937
138,infant,infant,rEVC,lA1,within,between,-0.08134539232927814,0.145853613000175
139,infant,infant,rEVC,lEVC,within,between,0.26274087487704706,0.23879267619021452
140,infant,infant,rEVC,rLOC,within,between,0.16894383964526716,0.23045017202119114
141,infant,infant,rEVC,rFFA,within,between,0.14088580942636442,0.17371647847863442
142,infant,infant,rEVC,rA1,within,between,-0.008010874079454026,0.1614368397332379
143,infant,infant,rEVC,rEVC,within,within,0.27279270071351125,0.21371998533065553
144,infant,adult,LOC,LOC,between,within,-0.04213506304756065,0.16377836554407366
145,infant,adult,LOC,FFA,between,between,0.04405294446204524,0.17060522837939338
146,infant,adult,LOC,A1,between,between,0.09383840921118147,0.1459474352691788
147,infant,adult,LOC,EVC,between,between,0.10507737901339587,0.11988729947647442
148,infant,adult,LOC,lLOC,between,between,-0.06013531295910093,0.1574122459923176
149,infant,adult,LOC,lFFA,between,between,0.04252478940910052,0.17786037002979532
150,infant,adult,LOC,lA1,between,between,0.09179060501278179,0.14566768942276442
151,infant,adult,LOC,lEVC,between,between,0.08415446083328104,0.11241426318200244
152,infant,adult,LOC,rLOC,between,between,-0.027148309922706882,0.17405392308471945
153,infant,adult,LOC,rFFA,between,between,0.03521722500861179,0.15339453163175243
154,infant,adult,LOC,rA1,between,between,0.08318428550571304,0.1429375966779915
155,infant,adult,LOC,rEVC,between,between,0.11743059300022,0.1260061853798604
156,infant,adult,FFA,LOC,between,between,-0.10734563637702897,0.18179452597852053
157,infant,adult,FFA,FFA,between,within,0.014297538807093696,0.16310571966236864
158,infant,adult,FFA,A1,between,between,0.15204966118880917,0.1551749234519693
159,infant,adult,FFA,EVC,between,between,-0.019849061138102402,0.12085612415483266
160,infant,adult,FFA,lLOC,between,between,-0.1309558719139818,0.16291627844737344
161,infant,adult,FFA,lFFA,between,between,-0.0034273761888843784,0.17075973167362307
162,infant,adult,FFA,lA1,between,between,0.1423111207913805,0.1611180831232509
163,infant,adult,FFA,lEVC,between,between,-0.03595050477452732,0.10999391205157774
164,infant,adult,FFA,rLOC,between,between,-0.08172348224650254,0.20101136460981164
165,infant,adult,FFA,rFFA,between,between,0.02167837119980377,0.14762723282547832
166,infant,adult,FFA,rA1,between,between,0.1397029197715495,0.14116024355104545
167,infant,adult,FFA,rEVC,between,between,-0.0020416417825306365,0.1290942388114032
168,infant,adult,A1,LOC,between,between,0.09925367014085344,0.09742016116856614
169,infant,adult,A1,FFA,between,between,0.030711611326324453,0.11470149881510312
170,infant,adult,A1,A1,between,within,-0.1464476269376366,0.1399897054024035
171,infant,adult,A1,EVC,between,between,0.06122492819695161,0.08749210329598893
172,infant,adult,A1,lLOC,between,between,0.09766183451141626,0.10080835501740534
173,infant,adult,A1,lFFA,between,between,0.026624542062042372,0.11453150801691497
174,infant,adult,A1,lA1,between,between,-0.14930182500075842,0.1435445939942278
175,infant,adult,A1,lEVC,between,between,0.0909278826223785,0.08341174149534009
176,infant,adult,A1,rLOC,between,between,0.0914856545003953,0.11782564171268707
177,infant,adult,A1,rFFA,between,between,0.029472423434001447,0.11248654609437854
178,infant,adult,A1,rA1,between,between,-0.12292188316548576,0.1412855983629711
179,infant,adult,A1,rEVC,between,between,0.026911518320259082,0.1034901119104769
180,infant,adult,EVC,LOC,between,between,-0.007859726575631013,0.16351020337955924
181,infant,adult,EVC,FFA,between,between,0.08337507725022321,0.17614876052382708
182,infant,adult,EVC,A1,between,between,0.10789195009444101,0.14738743705396146
183,infant,adult,EVC,EVC,between,within,0.23301746820969357,0.14789891750459538
184,infant,adult,EVC,lLOC,between,between,-0.0299025632948577,0.1450887609188805
185,infant,adult,EVC,lFFA,between,between,0.0752565561213973,0.19556278362795243
186,infant,adult,EVC,lA1,between,between,0.09563960060318667,0.14585159346564994
187,infant,adult,EVC,lEVC,between,between,0.20849230492714332,0.1392046787022858
188,infant,adult,EVC,rLOC,between,between,0.00697378475693284,0.18190794005399236
189,infant,adult,EVC,rFFA,between,between,0.0755453743274857,0.14384496958710413
190,infant,adult,EVC,rA1,between,between,0.105215762595313,0.14386636295966587
191,infant,adult,EVC,rEVC,between,between,0.23838044342776285,0.15458828886797976
192,infant,adult,lLOC,LOC,between,between,-0.04136406787220364,0.17662104884450855
193,infant,adult,lLOC,FFA,between,between,0.02574668637908875,0.1660372383229838
194,infant,adult,lLOC,A1,between,between,0.11177364175974086,0.1484243734570064
195,infant,adult,lLOC,EVC,between,between,0.08710606049586533,0.12531001443166756
