sub,age,roi,r2,architecture,train_type,layer,corr
sub-pixar016,3.622176591,rA1,,cornet_z_sl,imagenet_noface,aIT,-0.02136662188903601
sub-pixar017,3.613963039,lLO,,cornet_z_sl,imagenet_noface,aIT,-0.07079027601557038
sub-pixar017,3.613963039,rLO,,cornet_z_sl,imagenet_noface,aIT,-0.045244873445113826
sub-pixar017,3.613963039,lFFA,,cornet_z_sl,imagenet_noface,aIT,0.027194805832357963
sub-pixar017,3.613963039,rFFA,,cornet_z_sl,imagenet_noface,aIT,0.08596844825702044
sub-pixar017,3.613963039,lA1,,cornet_z_sl,imagenet_noface,aIT,-0.01349374617774062
sub-pixar017,3.613963039,rA1,,cornet_z_sl,imagenet_noface,aIT,-0.020537191598698067
sub-pixar018,4.577686516,lLO,,cornet_z_sl,imagenet_noface,aIT,0.000719181906947558
sub-pixar018,4.577686516,rLO,,cornet_z_sl,imagenet_noface,aIT,0.010950663317740292
sub-pixar018,4.577686516,lFFA,,cornet_z_sl,imagenet_noface,aIT,-0.040319111716599146
sub-pixar018,4.577686516,rFFA,,cornet_z_sl,imagenet_noface,aIT,0.04293140388061205
sub-pixar018,4.577686516,lA1,,cornet_z_sl,imagenet_noface,aIT,-0.11323207162231654
sub-pixar018,4.577686516,rA1,,cornet_z_sl,imagenet_noface,aIT,-0.050146031374703234
sub-pixar019,3.969883641,lLO,,cornet_z_sl,imagenet_noface,aIT,0.01584621867216885
sub-pixar019,3.969883641,rLO,,cornet_z_sl,imagenet_noface,aIT,0.01264250718513462
sub-pixar019,3.969883641,lFFA,,cornet_z_sl,imagenet_noface,aIT,0.010411768092956665
sub-pixar019,3.969883641,rFFA,,cornet_z_sl,imagenet_noface,aIT,0.05167734937078053
sub-pixar019,3.969883641,lA1,,cornet_z_sl,imagenet_noface,aIT,0.07471134000679083
sub-pixar019,3.969883641,rA1,,cornet_z_sl,imagenet_noface,aIT,0.04318411179420277
sub-pixar020,3.594798084,lLO,,cornet_z_sl,imagenet_noface,aIT,-0.019436005135843898
sub-pixar020,3.594798084,rLO,,cornet_z_sl,imagenet_noface,aIT,0.05062222889160675
sub-pixar020,3.594798084,lFFA,,cornet_z_sl,imagenet_noface,aIT,-0.08677256519334207
sub-pixar020,3.594798084,rFFA,,cornet_z_sl,imagenet_noface,aIT,0.1108817304532796
sub-pixar020,3.594798084,lA1,,cornet_z_sl,imagenet_noface,aIT,-0.06469984615233978
sub-pixar020,3.594798084,rA1,,cornet_z_sl,imagenet_noface,aIT,0.04110650622744665
sub-pixar021,4.364134155,lLO,,cornet_z_sl,imagenet_noface,aIT,0.21536963356098332
sub-pixar021,4.364134155,rLO,,cornet_z_sl,imagenet_noface,aIT,0.0775134762351748
sub-pixar021,4.364134155,lFFA,,cornet_z_sl,imagenet_noface,aIT,0.11321644072813294
sub-pixar021,4.364134155,rFFA,,cornet_z_sl,imagenet_noface,aIT,0.07674088196202214
sub-pixar021,4.364134155,lA1,,cornet_z_sl,imagenet_noface,aIT,0.19073797579927698
sub-pixar021,4.364134155,rA1,,cornet_z_sl,imagenet_noface,aIT,0.03175951582533577
sub-pixar022,3.822039699,lLO,,cornet_z_sl,imagenet_noface,aIT,-0.09886582549759705
sub-pixar022,3.822039699,rLO,,cornet_z_sl,imagenet_noface,aIT,-0.05834427679109575
sub-pixar022,3.822039699,lFFA,,cornet_z_sl,imagenet_noface,aIT,-0.11481243838250668
