sub,age,roi,corr,seed_age,seed_roi
s1607_1_2,0.891666667,lFFA,-0.14316886300698614,adult,rLO
s1607_1_2,0.891666667,rFFA,-0.07844656296648062,adult,rLO
s1607_1_2,0.891666667,lA1,0.0020213608236390665,adult,rLO
s1607_1_2,0.891666667,rA1,-0.14192112780860602,adult,rLO
s2037_1_1,0.466666667,lLO,-0.1733288100043242,adult,rLO
s2037_1_1,0.466666667,rLO,-0.09175183419693893,adult,rLO
s2037_1_1,0.466666667,lFFA,-0.1969904671658297,adult,rLO
s2037_1_1,0.466666667,rFFA,-0.09482002068915867,adult,rLO
s2037_1_1,0.466666667,lA1,-0.16748697601830773,adult,rLO
s2037_1_1,0.466666667,rA1,-0.14661203468285905,adult,rLO
s2047_1_1,0.391666667,lLO,-0.1812416089888449,adult,rLO
s2047_1_1,0.391666667,rLO,-0.14620981106729974,adult,rLO
s2047_1_1,0.391666667,lFFA,-0.10706908737951137,adult,rLO
s2047_1_1,0.391666667,rFFA,-0.19454293588125587,adult,rLO
s2047_1_1,0.391666667,lA1,-0.08083531499506509,adult,rLO
s2047_1_1,0.391666667,rA1,-0.11647535442634925,adult,rLO
s2057_1_2,0.641666667,lLO,-0.016666235112519467,adult,rLO
s2057_1_2,0.641666667,rLO,-7.313029498542782e-05,adult,rLO
s2057_1_2,0.641666667,lFFA,-0.1016586321315649,adult,rLO
s2057_1_2,0.641666667,rFFA,-0.051849423108292436,adult,rLO
s2057_1_2,0.641666667,lA1,-0.11565025456602798,adult,rLO
s2057_1_2,0.641666667,rA1,-0.008315119095966725,adult,rLO
s2067_1_1,0.35,lLO,-0.08173244304642112,adult,rLO
s2067_1_1,0.35,rLO,-0.010666715486810873,adult,rLO
s2067_1_1,0.35,lFFA,-0.11251162474295434,adult,rLO
s2067_1_1,0.35,rFFA,0.031198198887509902,adult,rLO
s2067_1_1,0.35,lA1,-0.08566225044384172,adult,rLO
s2067_1_1,0.35,rA1,0.006397797474442413,adult,rLO
s2097_1_1,0.433333333,lLO,-0.010113601208477388,adult,rLO
s2097_1_1,0.433333333,rLO,-0.05048329991387802,adult,rLO
s2097_1_1,0.433333333,lFFA,0.07299745744788116,adult,rLO
s2097_1_1,0.433333333,rFFA,0.05258828755374412,adult,rLO
s2097_1_1,0.433333333,lA1,0.030576671979782394,adult,rLO
s2097_1_1,0.433333333,rA1,-0.05263242049108887,adult,rLO
s2687_1_3,0.825,lLO,0.04547819570716989,adult,rLO
s2687_1_3,0.825,rLO,-0.02135211751037542,adult,rLO
s2687_1_3,0.825,lFFA,-0.14559289779996165,adult,rLO
s2687_1_3,0.825,rFFA,-0.05447822732196084,adult,rLO
s2687_1_3,0.825,lA1,-0.04173959041022485,adult,rLO
s2687_1_3,0.825,rA1,-0.07619334408645928,adult,rLO
s3097_1_1,0.325,lLO,-0.004792819040424508,adult,rLO
s3097_1_1,0.325,rLO,-0.1301835447884769,adult,rLO
s3097_1_1,0.325,lFFA,0.0026200203940420948,adult,rLO
s3097_1_1,0.325,rFFA,-0.14440706511762813,adult,rLO
s3097_1_1,0.325,lA1,0.03405911471973369,adult,rLO
s3097_1_1,0.325,rA1,-0.18673862232853217,adult,rLO
s3607_1_2,0.866666667,lLO,0.060722878795974766,adult,rLO
s3607_1_2,0.866666667,rLO,-0.035388349601809144,adult,rLO
s3607_1_2,0.866666667,lFFA,-0.1348350545084018,adult,rLO
s3607_1_2,0.866666667,rFFA,-0.09115668026626422,adult,rLO
s3607_1_2,0.866666667,lA1,-0.007953184371601842,adult,rLO
s3607_1_2,0.866666667,rA1,-0.09701617010554815,adult,rLO
s4047_1_1,0.458333333,lLO,0.0687062087278863,adult,rLO
s4047_1_1,0.458333333,rLO,0.1424437666649238,adult,rLO
s4047_1_1,0.458333333,lFFA,-0.07300740569066932,adult,rLO
s4047_1_1,0.458333333,rFFA,-0.05271992662452334,adult,rLO
s4047_1_1,0.458333333,lA1,0.13902542551295366,adult,rLO
s4047_1_1,0.458333333,rA1,0.05593034120360634,adult,rLO
s4607_1_3,0.808333333,lLO,0.017174717519088306,adult,rLO
s4607_1_3,0.808333333,rLO,-0.003835968150257038,adult,rLO
s4607_1_3,0.808333333,lFFA,-0.014481172034382438,adult,rLO
s4607_1_3,0.808333333,rFFA,-0.06583762470531242,adult,rLO
s4607_1_3,0.808333333,lA1,-0.060235584107713555,adult,rLO
s4607_1_3,0.808333333,rA1,-0.1598737058810246,adult,rLO
s5037_1_1,0.725,lLO,-0.18853992430401215,adult,rLO
s5037_1_1,0.725,rLO,-0.07305666963297122,adult,rLO
s5037_1_1,0.725,lFFA,-0.1905096144986636,adult,rLO
s5037_1_1,0.725,rFFA,-0.05123277275631935,adult,rLO
s5037_1_1,0.725,lA1,0.018661530128399426,adult,rLO
s5037_1_1,0.725,rA1,0.08927671292108283,adult,rLO
s6057_1_1,0.3,lLO,0.09069230424714184,adult,rLO
s6057_1_1,0.3,rLO,0.10205477149138446,adult,rLO
s6057_1_1,0.3,lFFA,0.023648327925662675,adult,rLO
s6057_1_1,0.3,rFFA,0.039670482672298224,adult,rLO
s6057_1_1,0.3,lA1,0.06216360164120911,adult,rLO
s6057_1_1,0.3,rA1,0.0773790542625976,adult,rLO
s6607_1_2,0.616666667,lLO,-0.15866095767249894,adult,rLO
s6607_1_2,0.616666667,rLO,-0.12899113702446494,adult,rLO
s6607_1_2,0.616666667,lFFA,-0.22458974809979404,adult,rLO
s6607_1_2,0.616666667,rFFA,-0.042108632684774244,adult,rLO
s6607_1_2,0.616666667,lA1,-0.0426283303423226,adult,rLO
s6607_1_2,0.616666667,rA1,0.05383894144831074,adult,rLO
s6687_1_3,0.941666667,lLO,0.13897942296324423,adult,rLO
s6687_1_3,0.941666667,rLO,0.09476464019859807,adult,rLO
s6687_1_3,0.941666667,lFFA,0.20321064573019673,adult,rLO
s6687_1_3,0.941666667,rFFA,0.10154134429654485,adult,rLO
s6687_1_3,0.941666667,lA1,0.08129659020478114,adult,rLO
s6687_1_3,0.941666667,rA1,0.021685654738729666,adult,rLO
s7017_1_1,0.433333333,lLO,-0.1078028734639606,adult,rLO
s7017_1_1,0.433333333,rLO,-0.06678749115208484,adult,rLO
s7017_1_1,0.433333333,lFFA,-0.060221352474230536,adult,rLO
s7017_1_1,0.433333333,rFFA,-0.09414407970184764,adult,rLO
s7017_1_1,0.433333333,lA1,-0.10739211137388434,adult,rLO
s7017_1_1,0.433333333,rA1,-0.09173342008928491,adult,rLO
s7057_1_1,0.441666667,lLO,-0.15143776390398628,adult,rLO
s7057_1_1,0.441666667,rLO,0.0005090475717043907,adult,rLO
s7057_1_1,0.441666667,lFFA,-0.04239839734330727,adult,rLO
s7057_1_1,0.441666667,rFFA,0.0077423778356367524,adult,rLO
s7057_1_1,0.441666667,lA1,0.02968975292575033,adult,rLO
s7057_1_1,0.441666667,rA1,-0.12201531339030589,adult,rLO
s7067_1_3,0.766666667,lLO,-0.0934825488402727,adult,rLO
s7067_1_3,0.766666667,rLO,0.004249895275159236,adult,rLO
s7067_1_3,0.766666667,lFFA,-0.11810292316254418,adult,rLO
s7067_1_3,0.766666667,rFFA,-0.028258912604370412,adult,rLO
