,age,roi,corr,architecture,train_type,layer,,,,,,,,,
6,adult,lLO,0.053890898,cornet_z_sl,vggface,aIT,,,,,,,,,
7,adult,rLO,-0.011147797,cornet_z_sl,vggface,aIT,,,,,,,,,
8,adult,lFFA,0.083479462,cornet_z_sl,vggface,aIT,,,,,,,,,
9,adult,rFFA,0.079552019,cornet_z_sl,vggface,aIT,,,,,,,,,
10,adult,lA1,0.00192226,cornet_z_sl,vggface,aIT,,,,,,,,,
11,adult,rA1,-0.044327403,cornet_z_sl,vggface,aIT,,,,,,,,,
0,infant,lLO,0.293435519,cornet_z_sl,random,aIT,,,,,,,,,
1,infant,rLO,0.241455357,cornet_z_sl,random,aIT,,,,,,,,,
2,infant,lFFA,0.150645998,cornet_z_sl,random,aIT,,,,,,,,,
3,infant,rFFA,0.198561684,cornet_z_sl,random,aIT,,,,,,,,,
4,infant,lA1,0.10459578,cornet_z_sl,random,aIT,,,,,,,,,
5,infant,rA1,-0.015687379,cornet_z_sl,random,aIT,,,,,,,,,
6,adult,lLO,0.053168684,cornet_z_sl,random,aIT,,,,,,,,,
7,adult,rLO,0.118503898,cornet_z_sl,random,aIT,,,,,,,,,
8,adult,lFFA,0.11384283,cornet_z_sl,random,aIT,,,,,,,,,
9,adult,rFFA,0.083157491,cornet_z_sl,random,aIT,,,,,,,,,
10,adult,lA1,0.069712099,cornet_z_sl,random,aIT,,,,,,,,,
11,adult,rA1,0.06132663,cornet_z_sl,random,aIT,,,,,,,,,
