age,roi,corr,architecture,train_type,layer,se
infant,lEVC,0.2069416155375843,cornet_z_sl,imagenet_vggface,aIT,0.05423921464029489
infant,rLOC,-0.052698105481811613,cornet_z_sl,imagenet_vggface,aIT,0.0564421309648679
infant,rFFA,-0.10571874510151577,cornet_z_sl,imagenet_vggface,aIT,0.04063458108160053
infant,rA1,0.02108616053484809,cornet_z_sl,imagenet_vggface,aIT,0.03752667438345171
infant,rEVC,0.05189001739490862,cornet_z_sl,imagenet_vggface,aIT,0.0485966537797053
adult,LOC,-0.17462057154087013,cornet_z_sl,imagenet_vggface,aIT,0.03481769726632854
adult,FFA,0.19816026997003877,cornet_z_sl,imagenet_vggface,aIT,0.036763929538821814
adult,A1,0.14516641391142127,cornet_z_sl,imagenet_vggface,aIT,0.04314664588611055
adult,EVC,0.15836645814361738,cornet_z_sl,imagenet_vggface,aIT,0.039006083597983146
adult,lLOC,-0.12659321647456084,cornet_z_sl,imagenet_vggface,aIT,0.03326200558117368
adult,lFFA,0.20752874885723036,cornet_z_sl,imagenet_vggface,aIT,0.028118273560292815
adult,lA1,0.10560539572222817,cornet_z_sl,imagenet_vggface,aIT,0.049856410549052425
adult,lEVC,0.14658019835230557,cornet_z_sl,imagenet_vggface,aIT,0.027273372639813623
adult,rLOC,-0.18105158326137002,cornet_z_sl,imagenet_vggface,aIT,0.03715458951784122
adult,rFFA,0.18580344383386016,cornet_z_sl,imagenet_vggface,aIT,0.03953404562303592
adult,rA1,0.16801728016833475,cornet_z_sl,imagenet_vggface,aIT,0.038745559679456115
adult,rEVC,0.15359977810394532,cornet_z_sl,imagenet_vggface,aIT,0.04869283932141571
infant,LOC,0.2394309432057415,cornet_z_sl,vggface_oneobject,aIT,0.03569295611434915
infant,FFA,0.06497194186431562,cornet_z_sl,vggface_oneobject,aIT,0.07123627194367209
infant,A1,0.1343207771040214,cornet_z_sl,vggface_oneobject,aIT,0.038301801132133426
infant,EVC,-0.10642527187134364,cornet_z_sl,vggface_oneobject,aIT,0.039711013184050105
infant,lLOC,0.21071955478431154,cornet_z_sl,vggface_oneobject,aIT,0.04937542648534067
infant,lFFA,0.2350020892145432,cornet_z_sl,vggface_oneobject,aIT,0.039799352483579076
infant,lA1,-0.046596772029700625,cornet_z_sl,vggface_oneobject,aIT,0.026842365899978068
infant,lEVC,-0.13936022031665257,cornet_z_sl,vggface_oneobject,aIT,0.039679639861178784
infant,rLOC,0.13063374373393322,cornet_z_sl,vggface_oneobject,aIT,0.0382254137502294
infant,rFFA,-0.1312045107618968,cornet_z_sl,vggface_oneobject,aIT,0.050216982818148445
infant,rA1,0.027522149162909296,cornet_z_sl,vggface_oneobject,aIT,0.027714603460753443
infant,rEVC,-0.05688197093852591,cornet_z_sl,vggface_oneobject,aIT,0.043219963982180386
adult,LOC,0.18224883814951728,cornet_z_sl,vggface_oneobject,aIT,0.03272185322224477
adult,FFA,0.16373972149014399,cornet_z_sl,vggface_oneobject,aIT,0.07693179096534557
adult,A1,-0.1360061537953903,cornet_z_sl,vggface_oneobject,aIT,0.035064048692305685
adult,EVC,0.10634406682100496,cornet_z_sl,vggface_oneobject,aIT,0.03961609212590171
adult,lLOC,0.16132764964391083,cornet_z_sl,vggface_oneobject,aIT,0.03005269049289926
adult,lFFA,0.16953727104780572,cornet_z_sl,vggface_oneobject,aIT,0.05475204304147571
adult,lA1,-0.13061351049885128,cornet_z_sl,vggface_oneobject,aIT,0.029120314115754366
adult,lEVC,0.08363116542161436,cornet_z_sl,vggface_oneobject,aIT,0.03945911552934724
adult,rLOC,0.21059230200261844,cornet_z_sl,vggface_oneobject,aIT,0.04074393793810012
adult,rFFA,0.15089932262106323,cornet_z_sl,vggface_oneobject,aIT,0.07506309465212178
adult,rA1,-0.14445568953657278,cornet_z_sl,vggface_oneobject,aIT,0.04374559715213287
adult,rEVC,0.08916217492507385,cornet_z_sl,vggface_oneobject,aIT,0.03448880841247844
infant,LOC,0.08863619856143826,cornet_z_sl,vggface,aIT,0.03444169276567019
infant,FFA,-0.1188149952868094,cornet_z_sl,vggface,aIT,0.054004538831827716
infant,A1,0.015702918531351567,cornet_z_sl,vggface,aIT,0.03796625852017865
infant,EVC,-0.05037279933411268,cornet_z_sl,vggface,aIT,0.03682729851372902
infant,lLOC,-0.0013888186426908658,cornet_z_sl,vggface,aIT,0.044800505955380474
infant,lFFA,0.06488102103421953,cornet_z_sl,vggface,aIT,0.04449982908191019
infant,lA1,-0.006349380829174182,cornet_z_sl,vggface,aIT,0.031007228163660548
infant,lEVC,-0.04984443850428252,cornet_z_sl,vggface,aIT,0.03454421210671824
infant,rLOC,0.07299733881704343,cornet_z_sl,vggface,aIT,0.0351889944667435
infant,rFFA,-0.31060984793256036,cornet_z_sl,vggface,aIT,0.041997776102254955
infant,rA1,-0.08095178459096145,cornet_z_sl,vggface,aIT,0.03297243490253934
