"stim1";"stim2";"acc";"resp_time";"standardrt"
"AU16_30.jpg";"AU25_16.jpg";1;1,846;-0,376977223726489
"AU16_30.jpg";"AU25_25.jpg";1;2,09;-0,307066832027016
"AU16_30.jpg";"AU26_07.jpg";0,6;2,28912;0,340869664936955
"AU16_30.jpg";"AU28_08.jpg";1;1,7662;-0,476040528660124
"AU16_30.jpg";"AU37_11.jpg";0,8;2,194;-0,0964659685909655
"AU16_30.jpg";"AU40_46.jpg";1;2,0504;-0,718441933531423
"AU17_16.jpg";"AU22_11.jpg";0,5;3,04545;0,0933173010217084
"AU17_16.jpg";"AU22_18.jpg";1;6,188;NA
"AU17_16.jpg";"AU25_16.jpg";0,8;2,29068;-0,214601452618349
"AU17_16.jpg";"AU25_25.jpg";1;1,883;-0,51622390418757
"AU17_16.jpg";"AU26_07.jpg";1;3,51705;-0,436771097459628
"AU17_16.jpg";"AU28_08.jpg";1;2,114;-0,282816736704054
"AU17_16.jpg";"AU37_11.jpg";1;2,09078;0,0660692699592829
"AU17_16.jpg";"AU40_46.jpg";1;3,45466;0,600066900645561
"AU22_11.jpg";"AU22_18.jpg";0,5;3,58045;-0,152552829102056
"AU22_11.jpg";"AU25_16.jpg";1;2,6575;-0,623708453788449
"AU22_11.jpg";"AU25_25.jpg";1;1,581;-0,821370937001519
"AU22_11.jpg";"AU26_07.jpg";1;1,746;-0,65465153165615
"AU22_11.jpg";"AU28_08.jpg";1;2,65856666666667;-0,0792916333427519
"AU22_11.jpg";"AU37_11.jpg";0,8;2,41396;0,0318285765910766
"AU22_11.jpg";"AU40_46.jpg";0,5;7,579;0,8099594936965
"AU22_18.jpg";"AU25_16.jpg";1;2,89116666666667;0,0362233510778778
"AU22_18.jpg";"AU25_25.jpg";0,8;3,38074;-0,080958503674127
"AU22_18.jpg";"AU26_07.jpg";1;2,14195;-0,711401851144655
"AU22_18.jpg";"AU28_08.jpg";0,8;1,58796;-0,671433306602721
"AU22_18.jpg";"AU37_11.jpg";1;2,752;0,361831630631374
"AU22_18.jpg";"AU40_46.jpg";1;2,564;0,171872550601499
"AU25_16.jpg";"AU25_25.jpg";1;1,857;-0,542494840787447
"AU25_16.jpg";"AU26_07.jpg";1;1,399;-1,00526749320065
"AU25_16.jpg";"AU28_08.jpg";0,8;1,85492;-0,21256837435338
"AU25_16.jpg";"AU37_11.jpg";1;1,93176666666667;-0,387080511027053
"AU25_16.jpg";"AU40_46.jpg";1;1,77123333333333;-0,524749252196464
"AU25_25.jpg";"AU26_07.jpg";1;3,7319;0,406638074498466
"AU25_25.jpg";"AU28_08.jpg";1;2,406;0,0122260897253273
"AU25_25.jpg";"AU37_11.jpg";1;3,65555;0,3940924815037
"AU25_25.jpg";"AU40_46.jpg";0,8;2,05732;-0,277802296044136
"AU26_07.jpg";"AU28_08.jpg";1;2,16503333333333;-0,247861667676677
"AU26_07.jpg";"AU37_11.jpg";1;1,9511;-0,172419948962369
"AU26_07.jpg";"AU40_46.jpg";1;5,439;0,442338377285875
"AU28_08.jpg";"AU37_11.jpg";1;3,3765;-0,379833309523693
"AU28_08.jpg";"AU40_46.jpg";1;3,07483333333333;0,516168503695841
"AU37_11.jpg";"AU40_46.jpg";1;2,27305;-0,656141900087452
